study_id,title,research_type,topic,start_date,end_date,target_n,achieved_n,status
1,Networked reciprocal portal — Gig Economy → Subscription Behaviour,Longitudinal Panel,Remote Work → Discretionary Spending,2022-03-20,2023-07-05,1000,742,Completed
2,Business-focused national projection — Gig Economy → Subscription Behaviour,Longitudinal Panel,Income Inequality → Market Confidence,2019-06-25,2019-08-24,500,351,Completed
3,Operative dynamic installation — Remote Work → Discretionary Spending,Field Study,Remote Work → Discretionary Spending,2021-10-05,2022-09-19,400,334,Completed
4,Optimized maximized function — Unemployment Duration → Savings Rate,Lab Experiment,Unemployment Duration → Savings Rate,2023-03-21,2023-09-21,300,225,Completed
5,Innovative optimizing hierarchy — Unemployment Duration → Savings Rate,Cross-sectional Survey,Unemployment Duration → Savings Rate,2021-08-17,2022-08-15,500,426,Completed
6,Organic bifurcated definition — Job Security → Brand Loyalty,Longitudinal Panel,Employment Status → Consumer Spending,2021-06-15,2021-10-28,500,428,Completed
7,Operative scalable projection — Unemployment Duration → Savings Rate,Lab Experiment,Income Shock → Financial Decision Reversal,2021-02-22,2021-06-23,800,698,Active
8,Total tangible challenge — Income Inequality → Market Confidence,Field Study,Income Inequality → Market Confidence,2020-11-09,2021-04-15,300,211,Active
9,Re-engineered responsive emulation — Unemployment Duration → Savings Rate,Mixed Methods,Remote Work → Discretionary Spending,2023-03-10,2023-10-09,1000,709,Completed
10,Switchable empowering superstructure — Employment Status → Consumer Spending,Longitudinal Panel,Part-time Work → Credit Card Usage,2022-09-13,2023-02-27,1000,798,Active
11,Adaptive dynamic circuit — Income Shock → Financial Decision Reversal,Lab Experiment,Part-time Work → Credit Card Usage,2020-05-16,2021-01-25,500,473,Completed
12,Robust static complexity — Remote Work → Discretionary Spending,Field Study,Part-time Work → Credit Card Usage,2019-08-09,2020-08-14,800,798,Completed
13,Pre-emptive 4thgeneration artificial intelligence — Unemployment Duration → Savings Rate,Mixed Methods,Income Shock → Financial Decision Reversal,2020-12-03,2021-10-21,300,214,Completed
14,Visionary content-based hardware — Unemployment Duration → Savings Rate,Field Study,Income Shock → Financial Decision Reversal,2019-12-22,2021-02-26,800,609,Paused
15,Down-sized global implementation — Income Shock → Financial Decision Reversal,Cross-sectional Survey,Part-time Work → Credit Card Usage,2021-02-19,2021-10-27,200,196,Completed
16,Future-proofed bottom-line open system — Job Security → Brand Loyalty,Longitudinal Panel,Unemployment Duration → Savings Rate,2019-05-28,2020-04-26,200,193,Completed
17,Up-sized responsive Graphic Interface — Remote Work → Discretionary Spending,Lab Experiment,Unemployment Duration → Savings Rate,2020-08-04,2021-05-06,800,726,Completed
18,Distributed responsive installation — Job Security → Brand Loyalty,Cross-sectional Survey,Employment Status → Consumer Spending,2022-10-08,2023-01-13,150,118,Completed
19,Cross-group client-server Graphic Interface — Part-time Work → Credit Card Usage,Longitudinal Panel,Employment Status → Consumer Spending,2019-05-18,2020-02-21,800,703,Completed
20,Customer-focused didactic forecast — Part-time Work → Credit Card Usage,Mixed Methods,Part-time Work → Credit Card Usage,2022-11-05,2023-05-11,500,410,Completed
